GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
manager,com.revature.repository,Approval,20,65,0,0,6,23,6,10,6,10
manager,com.revature.repository,User,21,38,0,0,7,14,6,6,6,6
manager,com.revature.repository,ExpenseRepository,246,133,14,2,66,32,13,4,6,3
manager,com.revature.repository,ApprovalRepository,211,4,12,0,54,1,11,1,5,1
manager,com.revature.repository,ExpenseWithUser,15,32,0,0,7,9,4,5,4,5
manager,com.revature.repository,UserRepository,142,0,12,0,35,0,9,0,3,0
manager,com.revature.repository,DatabaseConnection,30,0,2,0,11,0,4,0,3,0
manager,com.revature.repository,Expense,15,53,0,0,5,19,5,8,5,8
manager,com.revature,Main,477,0,8,0,112,0,16,0,12,0
manager,com.revature.service,AuthenticationService,185,0,28,0,50,0,24,0,10,0
manager,com.revature.service,ExpenseService,181,13,16,0,34,5,16,2,8,2
manager,com.revature.api,AuthenticationMiddleware,50,0,4,0,14,0,6,0,4,0
manager,com.revature.api,ReportController,254,0,12,0,69,0,13,0,7,0
manager,com.revature.api,ExpenseController,214,33,8,0,60,11,8,2,4,2
